zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
19138,2945,6245,2021-05-01 17:20:02
19125,4230,7971,2021-05-01 17:20:02
19144,4368,9467,2021-05-01 17:20:02
19152,4905,8691,2021-05-01 17:20:02
19153,1134,2700,2021-05-01 17:20:02
19133,2791,3857,2021-05-01 17:20:02
19126,1616,3515,2021-05-01 17:20:02
19119,3876,8041,2021-05-01 17:20:02
19120,7504,11428,2021-05-01 17:20:02
19128,5447,9486,2021-05-01 17:20:02
19104,8966,12832,2021-05-01 17:20:02
19127,1150,1515,2021-05-01 17:20:02
19149,7920,10591,2021-05-01 17:20:02
19143,6420,14727,2021-05-01 17:20:02
19146,6490,13645,2021-05-01 17:20:02
19135,3171,5765,2021-05-01 17:20:02
19151,2505,5902,2021-05-01 17:20:02
19154,3403,8592,2021-05-01 17:20:02
19132,3416,5657,2021-05-01 17:20:02
19111,7457,14105,2021-05-01 17:20:02
19114,3603,8347,2021-05-01 17:20:02
19147,7150,14404,2021-05-01 17:20:02
19139,3900,8320,2021-05-01 17:20:02
19124,6657,10442,2021-05-01 17:20:02
19142,2594,4154,2021-05-01 17:20:02
19118,1285,3090,2021-05-01 17:20:02
19122,3010,5418,2021-05-01 17:20:02
19123,3140,5484,2021-05-01 17:20:02
19130,5559,9371,2021-05-01 17:20:02
19116,3169,7767,2021-05-01 17:20:02
19129,1643,3272,2021-05-01 17:20:02
19140,5286,9114,2021-05-01 17:20:02
19134,6020,9568,2021-05-01 17:20:02
19145,6423,13315,2021-05-01 17:20:02
19121,4136,7499,2021-05-01 17:20:02
19107,3505,5849,2021-05-01 17:20:02
19150,2470,5971,2021-05-01 17:20:02
19131,4028,8695,2021-05-01 17:20:02
19102,1141,2254,2021-05-01 17:20:02
19148,8218,15181,2021-05-01 17:20:02
19115,4164,9629,2021-05-01 17:20:02
19136,4026,7369,2021-05-01 17:20:02
19103,4929,10485,2021-05-01 17:20:02
19106,2096,4785,2021-05-01 17:20:02
19141,2877,5456,2021-05-01 17:20:02
19137,821,1766,2021-05-01 17:20:02
